"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"s1[21,1]",-16.6104737,-16.6103,0.130590417548358,0.129727500000001,-16.82531,-16.3948,1.00010327949138,7360.47378954825,6305.00768796118
"s1[1,2]",-21.511261075,-21.5102,0.160789797716539,0.160936229999999,-21.780705,-21.247795,1.00039899655384,6909.79195329853,6688.55289178192
"s1[2,2]",-21.5111674375,-21.5122,0.160959271919438,0.16041732,-21.777405,-21.247095,0.999796105732193,7300.98919663691,7181.11014715542
"s1[3,2]",-21.509336825,-21.50905,0.159557718528789,0.16138101,-21.769705,-21.2472,1.00029928253914,7572.16277724797,7491.40618552135
"s1[4,2]",-20.0684827375,-20.0696,0.161439409070729,0.16041732,-20.33621,-19.804795,1.00054268682587,7340.10937635959,7169.17884801836
"s1[5,2]",-20.07069095,-20.0708,0.161319559479411,0.162048180000002,-20.33731,-19.80617,1.00053465931059,7056.95267386015,6348.70987604212
"s1[6,2]",-20.071855925,-20.07135,0.160977929214244,0.160713839999999,-20.33662,-19.81059,0.999888342194577,7162.51792762722,6463.93936470686
"s1[7,2]",-22.2348589125,-22.2332,0.652895909455819,0.648934019999999,-23.326505,-21.16172,0.999973009791895,7433.6189567446,7452.29870332601
"s1[8,2]",-22.2591994375,-22.2482,0.656116866210738,0.663685890000002,-23.34066,-21.195315,1.00026784706124,6959.76013909954,6750.44198856359
"s1[9,2]",-22.329039225,-22.32575,0.64871367150874,0.655160939999998,-23.388545,-21.275705,1.00028430225744,7129.8520798173,6494.01184247245
"s1[10,2]",-20.2213279375,-20.2313,0.89648356440506,0.897640170000002,-21.680205,-18.721695,0.999966247702683,6792.16349965524,6885.65035786063
"s1[11,2]",-20.007124275,-20.01095,0.903655835156159,0.912762690000003,-21.480745,-18.534795,0.999788300870689,7552.55854516386,6936.48328496461
"s1[12,2]",-19.9626209125,-19.97015,0.895032482266402,0.906387509999997,-21.409185,-18.47807,1.00037523934881,7442.41172793533,7271.80056577365
"s1[13,2]",-20.851172275,-20.8519,0.890266970191302,0.886817190000001,-22.308115,-19.377845,1.00019395080249,7405.33032317824,7052.79218941472
"s1[14,2]",-20.905719725,-20.9055,0.946552635592664,0.924030450000001,-22.472195,-19.362895,1.0000358296975,7116.94499117707,6875.51669370343
"s1[15,2]",-20.7378831,-20.7355,0.871707256907162,0.860649299999998,-22.18093,-19.295795,1.00075737871072,7211.59469868019,7196.42417010735
"s1[16,2]",-21.5650041375,-21.5431,0.853775822602771,0.848936759999999,-22.986075,-20.178565,1.00007953832656,7011.56841136705,7208.636528669
