"X1.lambda","X2.lambda","X3.lambda","X4.lambda"
0.065409372,0.07075536,0.057861723,0.092001864
0.067729491,0.090735375,0.065133151,0.061902592
0.072287406,0.064060856,0.0751574,0.074235278
0.066623518,0.080205907,0.071226956,0.083623923
0.075005036,0.07649599,0.093618418,0.075176699
0.076553142,0.072114634,0.061125618,0.065801933
0.063435336,0.083233791,0.072641596,0.071623813
0.073513697,0.071673588,0.088940126,0.06001776
0.084822279,0.073764588,0.059556639,0.11012709
0.098459349,0.068671285,0.10347127,0.091182953
0.056455865,0.070213089,0.097048233,0.055158721
0.065454752,0.049248161,0.079335404,0.070762686
0.080233107,0.073887288,0.06712338,0.073347898
0.069619497,0.056686121,0.059545201,0.059586851
0.071517944,0.061606582,0.070488019,0.096586913
0.057149935,0.081509462,0.060146945,0.06375571
0.06117291,0.070249693,0.072034076,0.073539111
0.08057187,0.053561123,0.072018769,0.056534738
0.073043841,0.068855824,0.074526382,0.062153457
0.092686721,0.061705925,0.087417492,0.087291451
0.072540172,0.072353404,0.088779417,0.08267929
0.082908872,0.068575214,0.058739126,0.063938369
0.078825924,0.067696868,0.091145027,0.075190849
0.078837295,0.070756077,0.061873049,0.077583018
0.078662429,0.063873677,0.092898132,0.083372186
0.058333361,0.074484129,0.056318514,0.082557431
0.064490431,0.084509625,0.061906562,0.078526622
0.074662572,0.063154031,0.065266717,0.076073457
0.073342534,0.06725446,0.068644838,0.075475752
0.091005795,0.074450446,0.086566052,0.055380115
0.061342832,0.062186122,0.069771735,0.10147995
0.093988674,0.07491132,0.066215793,0.079580657
0.083016739,0.07404531,0.066443038,0.080708036
0.075465594,0.086795507,0.073878004,0.070393226
0.062698714,0.068562211,0.064422064,0.07814599
0.08522691,0.061713468,0.073699623,0.061872084
0.065612486,0.061448677,0.064123398,0.086987891
0.074454717,0.092999271,0.091460541,0.065700261
0.080976591,0.082986095,0.072704734,0.077307354
0.07953737,0.065231908,0.068174826,0.11804718
0.054938307,0.086310933,0.087473479,0.054300757
0.087602972,0.058094932,0.060303654,0.066080138
0.080662001,0.091757971,0.085189118,0.075527474
0.058717639,0.073853388,0.058987434,0.09097575
0.077449406,0.058655967,0.066173424,0.074644061
0.075926353,0.07348241,0.071892046,0.068022663
0.074564301,0.07713265,0.059458205,0.076618681
0.07531558,0.0691264,0.091811582,0.067692685
0.083111605,0.067627306,0.080563299,0.075095433
0.066126393,0.082709588,0.069951647,0.078074848
0.078901664,0.069797646,0.099879651,0.07701689
0.079044065,0.069026333,0.071709187,0.071307591
0.0833668,0.064726495,0.075867128,0.075903595
0.06997915,0.055437296,0.071932848,0.059624488
0.073077329,0.052457648,0.088334183,0.062430072
0.076430882,0.10490734,0.095875257,0.082790802
0.087597048,0.10773744,0.073221826,0.088608342
0.052174785,0.090886481,0.065281324,0.069440099
0.084818953,0.040166015,0.071235598,0.068451398
0.089594359,0.1107468,0.081946666,0.066376705
0.088619884,0.051053157,0.086251094,0.067042463
0.065970326,0.087014455,0.059777647,0.056055706
0.10244833,0.069048759,0.082818011,0.072873231
0.070654055,0.067486472,0.077866828,0.059717691
0.062246314,0.085733844,0.058754412,0.073790662
0.058131477,0.077276847,0.067039,0.067850454
0.081145521,0.065399465,0.072466286,0.071570486
0.074185016,0.080973135,0.093782097,0.063013386
0.081223099,0.067604398,0.055875985,0.05326855
0.065063273,0.078185629,0.067189635,0.080027388
0.059393133,0.078818447,0.0505578,0.071182884
0.075928727,0.056716727,0.05602213,0.076521554
0.068274176,0.073578593,0.074003335,0.064556156
0.075765526,0.056227373,0.068885081,0.081241542
0.082720252,0.083068739,0.068644613,0.083048392
0.079487567,0.084963799,0.065507841,0.070078653
0.094414282,0.072150083,0.071284266,0.081598662
0.094348629,0.080665842,0.078025145,0.075478561
0.065487637,0.077293672,0.094266074,0.057169658
0.065378278,0.075672352,0.073908403,0.10506949
0.0630588,0.071269742,0.067010884,0.07154378
0.08659497,0.070149932,0.081999343,0.087728867
0.066296449,0.079753124,0.098036196,0.063061057
0.073706457,0.070112199,0.062616487,0.051036761
0.07759414,0.08493291,0.062022924,0.084049306
0.078599787,0.080895279,0.0679534,0.050572978
0.073879575,0.067493823,0.06426794,0.052398791
0.075488835,0.084510659,0.068806207,0.087989413
0.066588909,0.061820868,0.082548912,0.090977194
0.067193083,0.053780744,0.071008143,0.05458564
0.087116969,0.092632698,0.074142918,0.054763575
0.07295827,0.090368712,0.067593095,0.064410406
0.079469236,0.074794349,0.087402579,0.063464109
0.065835852,0.093564039,0.080065141,0.07312904
0.076724506,0.069066422,0.10782845,0.062070653
0.076439915,0.062256175,0.044799288,0.083475017
0.070260675,0.070679828,0.094226041,0.086288086
0.071458273,0.088171784,0.079434028,0.062525279
0.074990444,0.07061651,0.058544884,0.081757369
0.066571187,0.066782389,0.085860327,0.071898861
0.089856005,0.065415656,0.089055947,0.074245509
0.082660727,0.069340467,0.060072947,0.06047932
0.070448863,0.084221728,0.052239897,0.056985643
0.071239383,0.066407757,0.063005643,0.093110505
0.086918407,0.083248467,0.083951401,0.059701643
0.061281351,0.065601117,0.056270361,0.083835171
0.077372855,0.082488228,0.076952667,0.077083633
0.063211946,0.064915984,0.073933379,0.080600709
