"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"s2[250,1]",10.058955180975,10.046721,1.6085184864348,1.62534635886,7.42777609,12.66053785,1.00054754926541,7807.09679673544,3177.72761048162
"s2[251,1]",10.01513581185,10.050015,1.60467603356311,1.60130496204,7.37837119,12.6187408,1.00142155610595,7281.06797592141,2637.44175339666
"s2[1,2]",7.9959623261545,7.9877216,2.3598137860817,2.27735996145,4.11373399,11.8569755,1.00039000764864,6145.22734681512,3028.0455576324
"s2[2,2]",8.0063711406425,8.03235385,2.4091842493419,2.41202844834,3.97892717,11.97337025,1.00310888609583,6356.38241125131,2768.19558663214
"s2[3,2]",7.98496224244,7.9803586,2.35298746360059,2.43893029947,4.162667985,11.8101331,1.0008281897952,9553.84722279066,2911.97044657083
"s2[4,2]",7.9613334582675,7.9832977,2.38705405483055,2.38296778335,3.971564445,11.794483,1.00149554765743,7524.30021700645,2563.93763320235
"s2[5,2]",7.94337252555,7.9804502,2.34988584946336,2.30710988718,3.9903447,11.8163149,1.00627591532643,5764.91294159919,2968.56945720943
"s2[6,2]",7.991887468025,8.00570005,2.37055277944993,2.41303550439,4.06554212,11.76797265,1.00360231831875,8647.08891399397,2800.79211908952
"s2[7,2]",7.979520087565,7.9387098,2.36814820325182,2.41178337456,4.05432261,11.88143365,1.00568157021812,5892.37985270757,2752.26680239248
"s2[8,2]",7.96204813564,7.9517667,2.33515811319045,2.39251417062,4.072504845,11.8011069,1.00182705099634,7969.67527544974,3108.27205063108
"s2[9,2]",7.99320692145475,7.97451035,2.47426442914381,2.48017326627,3.944953045,12.054998,1.00287789775339,6653.87107736354,2509.06794521863
"s2[10,2]",8.289078656375,8.3496104,1.74577705965899,1.70290679874,5.311403235,11.0088459,0.999776911429898,3470.18959726241,3036.99472778651
"s2[11,2]",8.02894354437075,8.04194275,2.33969912266273,2.32350262473,4.097891985,11.7655296,1.00042697173134,6889.73275643087,2943.22625346646
"s2[12,2]",7.9864273768,8.00231395,2.39889332672758,2.42381719398,3.965441595,11.98956075,1.00032638429385,7465.06707259476,2941.0463973951
"s2[13,2]",7.925774349691,7.93392205,2.37111811260974,2.34548076126,4.053885245,11.79764525,1.0016513870053,8903.54678846723,2776.18411374443
"s2[14,2]",7.9849609103065,8.0285739,2.40027038197915,2.37534173373,3.95423453,11.92112965,1.0009475057735,6267.70816699995,2538.25594313031
"s2[15,2]",7.95967521743042,7.982072,2.40163630720834,2.44800922296,3.95068569,11.92137555,1.00024906873361,7761.33952496686,2676.23377398518
"s2[16,2]",7.964995552525,7.95477095,2.35828973950229,2.36136696852,4.12545469,11.9279774,1.00157078467346,6393.25790214968,3100.41597971478
"s2[17,2]",7.9726715245125,7.99001115,2.43663032732682,2.45010910347,3.796841365,11.92501325,1.00186632724974,9057.26569000184,2615.45765599378
"s2[18,2]",7.9345078189425,7.94934225,2.31118856384763,2.38515024468,4.042988055,11.7334674,1.00111237258326,9182.42302643492,2974.74395806741
"s2[19,2]",8.00240123983,7.99616835,2.36515807629257,2.38162521492,4.13977786,11.8434154,1.00306166491317,6960.19485524324,2615.3192479062
