variable;mean;median;sd;mad;q5;q95;time;
p_fit[68;1];0.0128187969493903;0.00514651;0.0258387991263816;0.0066325801164;0.00018128685;0.045708455;124.007696316354
p_fit[69;1];0.0128187891640255;0.00514651;0.0258387694827041;0.0066325793751;0.00018128685;0.045708455;124.007753830724
p_fit[70;1];0.0128187380635372;0.005146515;0.0258385676659728;0.0066325830816;0.0001812878;0.04570806;124.00817757268
p_fit[71;1];0.0128187380660372;0.005146515;0.0258385676654301;0.0066325830816;0.0001812878;0.04570806;124.008177613486
p_fit[72;1];0.0128187006734983;0.005146515;0.0258384221628478;0.0066325801164;0.00018128875;0.04570777;124.008479550984
p_fit[73;1];0.0128186795617115;0.00514652;0.0258383386490679;0.0066325860468;0.00018128875;0.04570767;124.008661391754
p_fit[74;1];0.012818678202289;0.00514652;0.025838328170772;0.0066325860468;0.00018128875;0.04570767;124.008666049936
p_fit[75;1];0.0128185724086275;0.00514653;0.0258379151449658;0.0066325934598;0.0001812906;0.045706885;124.0095238186
p_fit[76;1];0.012818558254838;0.00514653;0.0258378529865319;0.0066325919772;0.00018129155;0.045706785;124.009638223732
p_fit[77;1];0.0128185427670735;0.005146525;0.0258377923415003;0.0066325838229;0.00018129155;0.04570669;124.009756891984
p_fit[78;1];0.0128184924118403;0.00514653;0.0258375942588027;0.0066325867881;0.00018129245;0.04570639;124.010174082187
p_fit[79;1];0.0128184823500305;0.00514653;0.0258375543811171;0.0066325867881;0.00018129245;0.045706295;124.010262206332
p_fit[80;1];0.012818456144324;0.005146535;0.0258374517594174;0.0066325919772;0.00018129245;0.045706095;124.010480226665
p_fit[81;1];0.0128184174202077;0.00514654;0.0258373009923939;0.006632596425;0.0001812934;0.045705805;124.010794992982
p_fit[82;1];0.0128184063068405;0.00514654;0.0258372538599883;0.0066325949424;0.0001812934;0.0457058;124.010874312646
p_fit[83;1];0.0128183537687848;0.00514654;0.0258370461075043;0.0066325912359;0.0001812943;0.04570541;124.011310719945
p_fit[84;1];0.0128183321571505;0.00514654;0.0258369582326303;0.0066325897533;0.00018129525;0.045705215;124.011477675582
