"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta_raw[2,2]",-0.642996024,-0.691025,0.158341404018174,0.103085178,-0.804974,-0.3265267,2.91207101546821,4.59903130012045,14.0205841956536
"beta_raw[1,3]",0.1303144191,-0.01627065,0.33991519729516,0.30671339391,-0.2248724,0.6416231,3.23682843229262,4.49104579816319,12.3893009443207
"beta_raw[2,3]",-0.327362346225,-0.316099,0.191322370184567,0.2617856472,-0.58092475,-0.03537466,2.99137247310344,4.56957236033999,17.648675351036
"beta_raw[1,4]",-0.2834790727,-0.269837,0.183831196775073,0.28181446125,-0.5123522,-0.03193877,2.88678751821131,4.63649116643696,11.8759479978464
"beta_raw[2,4]",-0.098822811795755,-0.0968408,0.0920263003065127,0.12342911868,-0.2386105,0.009153654,3.14378855273485,4.52879945693599,15.2455515130504
"s1_raw[1,1]",0.29715275075,0.229737,0.82273974588337,1.1591226255,-0.65361685,1.376748,3.17333234148394,4.4963421628973,11.085281885967
"s1_raw[2,1]",-0.44807505475,-0.7978275,0.689342278450086,0.2341329333,-0.99084055,0.734521,3.11435991808125,4.55485278893952,27.1576525323252
"s1_raw[3,1]",1.007407396,0.988395,0.4316752848379,0.6079038063,0.37187105,1.527371,3.05726835450446,4.53183508708613,23.7916605895769
"s1_raw[4,1]",0.241558026825,0.18237755,0.682045990204481,0.76446125133,-0.6048485,1.265641,3.40086634821183,4.4247452861626,11.5021716284438
"s1_raw[5,1]",-0.36681388175,-0.6700005,1.91879191695219,2.2908460617,-2.3580905,2.355956,3.1853463172096,4.55978226022752,18.0480450998882
"s1_raw[6,1]",-0.26985862775,-0.088334,0.786181695192899,0.7978856529,-1.47711,0.49470025,2.85442201443703,4.61650843398742,11.1290530974305
"s1_raw[7,1]",-0.64127146725,-0.70354,0.894556846604455,0.868366233,-1.9120505,0.6635588,3.9237403483539,4.32916428756125,11.8347531115866
"s1_raw[8,1]",-0.15244196525,-0.1674185,0.88767381609601,1.3271894202,-1.11239,0.8526494,3.53581503872297,4.40129783829717,11.0996040026088
"s1_raw[9,1]",-1.57395694325,-1.54376,0.620287920421986,0.8270595144,-2.39231,-0.81031695,3.6507119398187,4.37729499100003,11.3719968220032
"s1_raw[10,1]",-1.07653701973065,-1.078078,0.73150910547701,0.8485750056,-2.14316,-0.0516116650000001,3.28381950928522,4.46530227819471,11.0474038987165
"s1_raw[11,1]",-0.169363167,-0.596709,1.53984937964067,1.4285488518,-1.6764835,2.1707645,3.56049989139481,4.38806335204298,11.4286100627047
"s1_raw[12,1]",-1.3704284035,-1.470185,0.551253797262361,0.6975106677,-1.987141,-0.6424219,3.40192547332781,4.43800930882517,12.0644761345705
"s1_raw[13,1]",0.4002579117575,0.0976749,0.647835145277404,0.1992673704,-0.1001397,1.525401,3.15503136571693,4.5720871592299,16.0127891758076
"s1_raw[14,1]",0.5815895305,0.9508985,0.901184392292713,0.2574579378,-0.94947115,1.431545,2.73837084479988,4.68405320711351,12.3295890191682
"s1_raw[15,1]",-0.0095145025,-0.3167335,0.791005829470038,0.4310148003,-0.6819601,1.31931,2.83537140560453,4.6290700265588,14.6335101317468
"s1_raw[16,1]",0.39070750925,0.4298405,0.316187973699118,0.3375761592,-0.097996395,0.7783775,3.72247744829786,4.4045539118571,12.8397223277018
"s1_raw[17,1]",-1.04422931625,-0.9871105,0.644284611447107,0.6139483665,-2.067578,-0.1481147,3.85670259956171,4.33306810481767,11.4134659726599
