variable;mean;median;sd;mad;q5;q95;rhat;ess_bulk;ess_tail;
s1[14;3];-28.0201525875;-28.0203;0.0661529382356483;0.0652344000000007;-28.130505;-27.9104;1.00020644903008;6393.342871773;6363.94294715359
s1[15;3];-28.02106095;-28.02105;0.0647118250603036;0.0633811499999971;-28.129205;-27.914695;0.999954495898844;7161.92865744751;6820.00032859203
s1[16;3];-27.9402268625;-27.94015;0.0496003859807792;0.0489999300000043;-28.021705;-27.858;1.00126710391402;6905.17573371661;6217.17680988778
s1[17;3];-27.93943405;-27.93935;0.049736955538018;0.049889489999997;-28.02181;-27.859395;0.999800475363598;7105.21733982952;6768.33450301186
s1[18;3];-27.9394879;-27.9387;0.0498025244844137;0.0487034099999997;-28.0218;-27.8587;1.00031046934591;7278.70616606105;6852.28906866056
s1[19;3];-29.597821925;-29.5968;0.222163318139573;0.224762160000003;-29.9567;-29.235095;0.999913896061865;7079.70004768925;6774.85966836798
s1[20;3];-29.5966062125;-29.5957;0.217396895168511;0.21801633;-29.95771;-29.241895;0.999986286106683;7290.06399169923;6832.32599822063
s1[21;3];-29.59733715;-29.5959;0.224329144931138;0.226763669999998;-29.96491;-29.23168;0.999940471775375;6719.20944408705;6513.13468200891
s2[1;1];8.33297438375;8.33525;0.616308046391901;0.606650267999999;7.323351;9.3440615;1.00045340275309;7262.92078165403;7037.38246680729
s2[2;1];8.34585206125;8.348125;0.62365814671209;0.617562204000001;7.3129135;9.372241;1.0003039029315;7458.06615199869;6112.90264168299
s2[3;1];8.06557180375;8.06564;0.603174635470892;0.614656308;7.071604;9.067109;1.00025286868609;6501.16469821543;6409.51840254712
s2[4;1];12.5934496625;12.58565;0.372829785265319;0.373318679999999;11.9978;13.217525;1.0001369660693;6979.29499949883;6830.37913588318
s2[5;1];12.7638872125;12.7643;0.383781729244883;0.38206602;12.13275;13.388;1.00115789766983;7209.46899671125;6576.92643035616
s2[6;1];12.854450625;12.85685;0.37263645928164;0.36968631;12.229945;13.46031;0.999777536667609;7282.90413179506;6928.94662391549
s2[7;1];9.75570919625;9.756495;0.0795763980117946;0.0800752259999998;9.6228875;9.8861905;1.00068631123109;7122.04273038334;6406.93874729291
s2[8;1];9.74931027;9.748935;0.0796791108297208;0.0813947399999986;9.6195615;9.8791715;1.00003966035613;6476.22402665975;6413.81205693332
s2[9;1];9.7583908725;9.758635;0.0801470419189304;0.0804977669999996;9.6266815;9.8900425;1.00007696130172;6805.39793404479;6846.34938214436
s2[10;1];10.81813140375;10.81935;0.34574499644505;0.348633390000001;10.254995;11.400345;0.999804780545681;6997.18121584774;7045.50770554365
s2[11;1];10.6161285175;10.6209;0.333251178499302;0.327432209999999;10.06379;11.1674;1.00048023520053;6954.26797120506;6578.32779419117
s2[12;1];10.63619639375;10.6341;0.339834251078608;0.344926889999999;10.087065;11.20413;1.00078223081234;6567.35124225803;6275.54803499413
s2[13;1];11.4706179875;11.47075;0.0198145069213294;0.0197927100000013;11.4381;11.5031;0.999737844008194;7481.8032537681;6986.67713771721
s2[14;1];11.4702762;11.47;0.0201968072337636;0.0201633599999978;11.4376;11.5037;1.00053126041613;7258.5819651603;6934.85518581214
s2[15;1];11.4696971;11.4695;0.019971079016659;0.0200151000000008;11.4368;11.5025;1.00048263468318;7458.45801089813;6604.28669486332
s2[16;1];11.581798425;11.58105;0.110036004847571;0.111046740000001;11.399495;11.7635;0.999897947378472;7167.79153092295;6208.35098728346
s2[17;1];11.5899288625;11.5905;0.110934893933526;0.11082435;11.40969;11.7741;1.0000504800687;7042.06904415235;6910.73336510381
s2[18;1];11.5856089125;11.58405;0.109600156346153;0.10949001;11.406395;11.765505;0.999822989238575;7209.52597277329;6963.45786394601
s2[19;1];9.359899845;9.36088;0.11923197635198;0.118622826;9.159444;9.5537675;1.00044258077175;7335.38934519991;6961.12648741554
