"observation","mean_1]","mean_2]","median_1]","median_2]","sd_1]","sd_2]","mad_1]","mad_2]","q5_1]","q5_2]","q95_1]","q95_2]","time"
"y_fit[69",-1.5128763935,4.309130935,-1.51761,4.315175,0.212633202380831,0.215174317407059,0.208053258,0.216318753,-1.8577415,3.9541925,-1.1529075,4.6512415,291.019218314006
"y_fit[70",-1.51288207875,4.309134455,-1.51762,4.315175,0.212632933086822,0.215174006612865,0.208060671,0.216326166,-1.857742,3.954202,-1.1529175,4.6512415,291.019813289586
"y_fit[71",-1.50045869375,5.5466042125,-1.50584,5.554085,0.203135792925434,0.201481826186757,0.1994097,0.203598044999999,-1.8303825,5.205195,-1.159442,5.8581435,344.000019961582
"y_fit[72",-1.50044255925,5.54665708,-1.50583,5.55414,0.203136351153676,0.201481715690936,0.1994097,0.203598045,-1.830363,5.2052545,-1.1594315,5.8582035,344.00161564461
"y_fit[73",-1.5004344915,5.5466839325,-1.505825,5.55416,0.20313671060431,0.201481740834952,0.1994097,0.203612871,-1.830353,5.2052845,-1.1594215,5.858224,344.002425410445
"y_fit[74",-1.50041277775,5.54675505,-1.50581,5.55423,0.203137656342028,0.201481611402706,0.199402287,0.203620283999999,-1.8303325,5.205355,-1.159401,5.858294,344.004574812646
"y_fit[75",-1.500389264,5.5468321925,-1.505795,5.554305,0.203138601196619,0.201481479235901,0.1994097,0.203635109999999,-1.830303,5.2054345,-1.1593805,5.858374,344.006901413444
"y_fit[76",-1.50038123525,5.5468584625,-1.50579,5.554335,0.203138806338382,0.201481531169017,0.199402287,0.203627697,-1.8303025,5.205455,-1.15937,5.858404,344.007695128131
"y_fit[77",-1.50036914625,5.5468982975,-1.50578,5.554375,0.203139412471059,0.201481372416371,0.1994097,0.203627696999999,-1.830283,5.205495,-1.15936,5.858444,344.008898073756
"y_fit[78",-1.50027149225,5.5472187075,-1.50572,5.55469,0.20314325905117,0.201480863820676,0.199380048,0.203664762,-1.830183,5.205825,-1.1592675,5.858765,344.018570655598
"y_fit[79",-1.50026394275,5.54724347,-1.50571,5.554715,0.2031435763182,0.201480922519587,0.199387461,0.203664762,-1.830173,5.205845,-1.159267,5.858795,344.019315460431
"y_fit[80",-1.50026077825,5.547253955,-1.50571,5.554725,0.203143738520069,0.201480923215978,0.199380048,0.203664762,-1.8301725,5.2058555,-1.159257,5.858805,344.019631181094
"y_fit[81",3.575564235,10.3420189325,3.572575,10.3419,0.173321277718843,0.156218781550468,0.178379019,0.15522822,3.299646,10.085185,3.862134,10.593715,462.00011079947
"y_fit[82",3.5757686075,10.3422042325,3.57278,10.3421,0.173316951088662,0.156214700426747,0.178379019,0.15522822,3.299875,10.085385,3.8623245,10.59391,462.003663302534
"y_fit[83",3.57585182,10.342278205,3.57286,10.3422,0.173315203859355,0.156213656149902,0.178371606000001,0.155228219999999,3.2999645,10.085485,3.8624045,10.59401,462.005109524149
"y_fit[84",3.57600079,10.342411895,3.573005,10.34235,0.173312042403107,0.156210519537618,0.178371606,0.155228219999999,3.300124,10.085585,3.8625355,10.59411,462.007698931554
"y_fit[85",3.5761972275,10.3425882525,3.573195,10.34255,0.173307870791859,0.156207619401587,0.17835678,0.155154090000002,3.300343,10.085785,3.8627255,10.59431,462.011112287776
"y_fit[86",3.576252795,10.3426379925,3.57325,10.3426,0.173306733104697,0.156206740690676,0.17835678,0.155228219999999,3.3004025,10.08588,3.862776,10.594315,462.012079520524
"y_fit[87",3.576310135,10.34268958,3.57331,10.34265,0.173305525319905,0.156205706943101,0.17835678,0.15522822,3.3004625,10.085885,3.8628265,10.59441,462.013074781536
"y_fit[88",3.57647713,10.342839075,3.573475,10.3428,0.173301974313013,0.156202549096295,0.17835678,0.155228219999999,3.3006515,10.08608,3.8629865,10.594515,462.015978313033
"y_fit[89",3.5764879375,10.342849655,3.573485,10.34285,0.173301713601468,0.156202774695223,0.17835678,0.155154089999999,3.3006615,10.08608,3.8629965,10.594515,462.016165810465
"y_fit[90",3.5765753875,10.34292668,3.57357,10.3429,0.173299865175993,0.156199936943979,0.178349367,0.155228219999999,3.3007515,10.08618,3.863077,10.59461,462.017685708995
"y_fit[91",4.1242143,10.69955145,4.121455,10.70135,0.161036353142756,0.144188345880204,0.164820641999999,0.14403459,3.861925,10.460645,4.386375,10.92792,471.004429925396
"y_fit[92",4.12422956,10.6995588,4.121465,10.70135,0.161036068155765,0.144188339826407,0.164820641999999,0.14403459,3.8619355,10.460645,4.386395,10.92792,471.004672795688
"y_fit[93",4.1242476525,10.6995667,4.121485,10.70135,0.161035651948765,0.144187559568062,0.164820642000001,0.14403459,3.8619555,10.46074,4.3864055,10.92792,471.004960200395
"y_fit[94",4.12455551,10.6997071,4.12179,10.70155,0.161028163032006,0.144179990539631,0.164798403000001,0.143886330000002,3.8622475,10.460845,4.386677,10.928025,471.009850131529
"y_fit[95",4.1245813375,10.69971925,4.121815,10.70155,0.161027567438327,0.144179529263353,0.164798403,0.14396046,3.8622775,10.460845,4.3867065,10.928025,471.010262185377
"y_fit[96",4.1247179825,10.69978195,4.12195,10.70155,0.16102441988175,0.144175956042513,0.16479099,0.14403459,3.862408,10.46094,4.3868275,10.92812,471.012433672422
"y_fit[97",4.12479248,10.6998162,4.122025,10.70165,0.161022479093582,0.144173529571892,0.164790989999999,0.14388633,3.8624785,10.460945,4.386888,10.928125,471.013616662114
"y_fit[98",4.12494223,10.699883425,4.122175,10.70165,0.161018923925707,0.144170219934105,0.164768750999999,0.14396046,3.8626195,10.461045,4.3870185,10.92822,471.015994724357
"y_fit[99",4.124956385,10.699890725,4.12219,10.70165,0.161018568340174,0.144169697134548,0.164776164,0.14396046,3.8626395,10.461045,4.3870385,10.92822,471.01621968728
"y_fit[100",4.12511588,10.699962925,4.12235,10.70175,0.161014790201837,0.14416538370014,0.164753925,0.143886330000002,3.8627905,10.461145,4.387179,10.928225,471.018754210304
