"X1.lambda";"X2.lambda";"X3.lambda";"X4.lambda"
0,0211254;0,0201137;0,0195286;0,0207814
0,0215119;0,0218642;0,019147;0,0215498
0,0208842;0,0213634;0,0222827;0,0215979
0,0205263;0,0205989;0,0206233;0,0186834
0,0209514;0,0210998;0,0210177;0,0225093
0,0215636;0,021023;0,0204717;0,0211156
0,0213724;0,0205623;0,0196859;0,0212769
0,0193893;0,018538;0,022479;0,0217829
0,0222436;0,0215228;0,0220134;0,0205109
0,0204448;0,0193404;0,020351;0,02077
0,0198006;0,0219255;0,0216713;0,0202513
0,0212942;0,0194743;0,0204884;0,0211406
0,0218164;0,0214955;0,0219434;0,0200665
0,0189268;0,0210633;0,0186436;0,021698
0,0203461;0,0210641;0,022279;0,022255
0,0220664;0,0202993;0,0190637;0,0227961
0,020671;0,0194695;0,0205015;0,0217653
0,0210325;0,0234091;0,0219709;0,0221469
0,0202585;0,0196879;0,0231021;0,0204345
0,0211326;0,0212724;0,0207201;0,0215937
0,0199465;0,0215737;0,0215687;0,0214838
0,021382;0,0202412;0,018941;0,0208485
0,0205511;0,0212098;0,0225785;0,0215451
0,0203968;0,0206828;0,0220862;0,0201013
0,0213473;0,0211166;0,0211001;0,0223374
0,0213424;0,0201189;0,020732;0,0199151
0,0213609;0,0217623;0,020908;0,021765
0,0214522;0,0212251;0,0195624;0,018733
0,0188425;0,0206639;0,0216367;0,0212006
0,0229596;0,020165;0,0206613;0,0199312
0,0195835;0,0211988;0,019335;0,0218724
0,0219191;0,0208273;0,0198397;0,0206306
0,0188952;0,0202085;0,0207256;0,0216188
0,0207052;0,022521;0,0224982;0,0202883
0,0207318;0,0208174;0,0200083;0,0217748
0,0193403;0,0207857;0,0208682;0,0219092
0,0231253;0,0199737;0,0185579;0,0212175
0,0207412;0,0191845;0,0243083;0,0219879
0,0227758;0,0224516;0,0195479;0,0208221
0,0219554;0,0197103;0,0218798;0,02372
0,0180573;0,0207449;0,0211534;0,0206729
0,0182936;0,0219394;0,0200648;0,0215855
0,0217651;0,0203776;0,0205164;0,0214377
0,0220943;0,0211392;0,0215311;0,0189102
0,0190594;0,0205156;0,0202611;0,0229369
0,0218216;0,0204148;0,0223112;0,0211691
0,0216863;0,0209843;0,0197291;0,0200285
0,0218871;0,0201667;0,0217055;0,0221278
0,021735;0,0204954;0,0220225;0,0206478
0,0195656;0,021528;0,0197322;0,0229905
0,0222556;0,020804;0,0199376;0,0208473
0,0200057;0,0200089;0,0219907;0,0218877
0,0217826;0,0218691;0,0222104;0,0203718
0,0192151;0,0206091;0,0215969;0,0192742
0,0219006;0,0230114;0,0216856;0,0215374
0,0196062;0,0229699;0,0210728;0,0195275
0,0198383;0,0214083;0,0216703;0,0208769
0,0218669;0,0217136;0,0204468;0,0200815
0,0203449;0,020409;0,0197364;0,0196988
0,0207378;0,0200261;0,0205148;0,020643
0,0210457;0,0199953;0,0223012;0,0204346
0,0205155;0,021695;0,0207609;0,019957
0,0208548;0,0196172;0,0205916;0,0200921
0,0217303;0,0216889;0,0208771;0,0201119
0,0206538;0,0221327;0,0213888;0,0211321
0,0215524;0,0205599;0,0218216;0,0220672
0,0211406;0,0209557;0,0216278;0,0216428
0,0210135;0,02005;0,0202936;0,019343
0,021705;0,0215507;0,0215225;0,0215163
0,0213637;0,0206239;0,021417;0,0213515
0,0194464;0,0219084;0,0212968;0,0217802
0,0201369;0,0196559;0,0233637;0,0216882
0,0214148;0,0203006;0,0195972;0,0197381
0,0198307;0,0230394;0,0204324;0,0213676
0,0203285;0,0201837;0,0209903;0,0197743
0,0201117;0,0208638;0,0211949;0,0197483
0,0220006;0,0207111;0,0208237;0,0195073
0,021261;0,0200992;0,0224284;0,0217141
0,0215623;0,0216615;0,0222019;0,0199449
0,0213595;0,0224691;0,021804;0,022473
0,0217303;0,0208829;0,0206043;0,0202839
0,0206621;0,0207636;0,0186687;0,0216529
0,0213183;0,0208157;0,0220862;0,0194815
0,0221934;0,0201097;0,0190969;0,0196887
0,0203342;0,0204757;0,0210012;0,0226795
0,0205795;0,0218483;0,0201959;0,0185924
0,0224494;0,0203699;0,019911;0,0188881
0,0205804;0,0182313;0,0207891;0,022225
0,020649;0,0181111;0,0203391;0,0199043
0,0215298;0,0225459;0,020684;0,0221115
0,0206701;0,0201225;0,0208752;0,0199544
0,0208704;0,0201082;0,0217747;0,0220893
0,0209754;0,0223026;0,0193533;0,0204655
0,0217982;0,0193185;0,0204819;0,021622
0,024804;0,0212362;0,0207;0,0207317
0,0203655;0,0187977;0,020698;0,0214743
0,0225089;0,0212343;0,021431;0,0202336
0,0191207;0,0199388;0,0205507;0,0234176
0,0197462;0,0220996;0,0203321;0,0205109
0,0218363;0,0187993;0,0204759;0,0211075
0,0202588;0,0233289;0,0200332;0,0204172
0,0211928;0,0224704;0,0202895;0,0211539
0,0217491;0,0197088;0,0199281;0,0189221
0,0210932;0,0210959;0,0204457;0,0199224
0,0209998;0,0210981;0,0207631;0,0212586
0,0207098;0,0206406;0,0214922;0,0203902
0,0216464;0,0224245;0,0218975;0,021684
0,0215557;0,0197267;0,0201623;0,0203693
0,0203348;0,0196886;0,0204794;0,0240413
0,0192359;0,0217399;0,0195303;0,0201216
0,02302;0,0202088;0,021545;0,0208523
0,0202533;0,0215048;0,0209855;0,0192239
